Gabon,128188,171427,214431,233824,270829,378686,416651,449746
Gambia,118123,150890,182514,181839,185837,192540,215659,236137
Georgia,304470,152235,76117,71296,73078,76685,79368,81582
Germany,6960112,9637208,10397459,11210590,11665950,12646813,15021300,16750084
Ghana,164851,252879,191601,309932,337766,414744,476412,532286
Gibraltar,8709,8381,8054,9211,10369,11065,11190,11291
Greece,618139,857850,1111665,1190707,1321149,1242924,1340456,1423964
Greenland,9282,7121,6601,6556,6091,6009,5899,5812
Grenada,4263,5544,6825,6902,6980,7057,7213,7340
Guadeloupe,65944,74566,83188,89065,94942,90956,90206,89610
Guam,69755,71912,74070,74743,75416,76089,80472,84159
Guatemala,264257,156188,48119,57214,66386,74852,84311,92732
Guinea,403621,774505,560075,233419,178762,126657,121437,117416
Guinea-Bissau,15368,27961,20450,20902,21391,22333,17945,15064
Guyana,4095,6352,8610,10868,8182,8661,31169,54175
Haiti,19084,18129,17222,16360,17182,18047,18884,19581
High-income countries,88397474,102158680,115710008,133103947,154694973,174474223,189034344,206643561
Honduras,270423,149442,28461,27934,27288,38330,39195,39901
Hong Kong,2218473,2443798,2669122,2721235,2779950,2841113,2962492,3063318
Hungary,347510,322234,296957,366787,436616,475508,584567,689565
Iceland,9584,12738,15892,25492,35091,39072,65424,98818
India,7212791,6836861,6391543,5954999,5601237,5252296,4929816,4796255
Indonesia,92058,114419,287645,87508,113288,192119,306702,445726
Iran,4291601,2937668,2476469,2552206,2722397,2729939,2797235,3840654
Iraq,83638,199460,210525,134863,120466,359352,365766,370980
Ireland,227783,247379,376321,620579,751381,802470,951686,1216237
Isle of Man,34769,36886,39002,41475,43447,42238,43040,43693
Israel,1622505,1781111,1838155,1881017,1953214,2019891,2068830,2091569
Italy,1529367,1810642,2143259,3285903,4719233,5506199,6223851,6553671
Jamaica,20475,22713,24952,24284,23677,23165,23629,24007
Japan,1050475,1331094,1651869,1976528,2161780,2577487,3289042,3409529
Jordan,1131529,1511664,1834160,2229368,3723368,4386976,4940142,5280168
Kazakhstan,3289058,2259955,1733374,1845637,1856870,1919920,1990268,2089797
Kenya,298089,618745,707852,773354,954925,1126886,1050147,992536
Kiribati,2162,2223,2283,2487,2868,2919,3126,3302
Kuwait,1056143,935152,1116932,1353949,1871827,2610785,3030731,3323191
Kyrgyzstan,623083,518338,389824,309399,232065,204382,199011,194816
Land-locked Developing Countries (LLDC),14076862,11932094,10884070,10682465,9776704,11758049,13062602,14973951
Laos,22866,23526,21948,20371,32955,45538,48731,51446
Latin America and the Caribbean (UN),7253323,6728705,6589509,7111817,8275866,9109959,14287765,17510527
Latvia,646007,538093,430178,376725,313786,265418,239422,220471
Lebanon,424488,466437,514836,553850,625884,1763717,1586346,1422583
Lesotho,8240,7204,6167,6290,6414,9152,12060,15039
Liberia,94964,208563,151868,87217,99165,112111,87947,72423
Libya,457075,508041,567436,625412,687192,771146,826537,897751
Liechtenstein,10906,13311,15483,18898,22342,23799,25877,27669
Lithuania,349258,273587,214311,201209,160772,136021,145184,175194
Low-income countries,8730266,8238108,6838373,7050629,7985909,9509682,11661069,14383617
Lower-middle-income countries,26221307,24903694,25055133,24397038,26722668,29132446,30333240,33204688
Luxembourg,113795,126106,139750,150618,163142,248888,298062,344309
Macao,205047,224929,240791,279308,318506,376066,403490,426862
Madagascar,23917,21177,23541,26058,28905,32075,35563,38625
Malawi,1127724,241624,232620,221661,217722,197328,191362,186719
Malaysia,1027572,1312828,1613819,2174308,3086876,3513497,3718696,3806514
Maldives,8689,18510,27092,45045,54659,64273,70079,75099
Mali,160736,176187,189475,258630,341078,420504,485829,545323
Malta,15077,17740,21521,24560,33008,52642,114760,199466
Marshall Islands,1158,1480,1891,2417,3089,3284,3298,3309
Martinique,38705,46599,54492,57034,59575,69174,68624,68187
Mauritania,111650,89562,57366,58211,84920,166552,182286,195937
Mauritius,3613,7493,15543,19647,24836,28585,28893,29142
Mayotte,15229,26316,45474,63176,72757,81386,111540,143528
Melanesia,91200,96828,95281,103881,110691,119343,124073,128055
Mexico,701513,458051,526172,701803,957593,1088731,1335154,1726089
Micronesia,108969,118687,130186,128390,114743,113466,118860,123424
Micronesia (country),3685,3342,3116,2905,2806,2756,2832,2894
Middle Africa (UN),1461155,2662490,1775284,1961951,2436802,3479911,3861568,4854994
Moldova,533397,365099,250134,174263,132386,101730,77291,188207
Monaco,20359,21060,21787,21312,21132,25983,26601,27106
Mongolia,6718,7424,8206,11477,16062,19886,21345,22589
Montenegro,73743,73743,73743,73743,78512,71719,70999,92237
Montserrat,2013,1612,1211,1244,1291,1351,1379,1402
Morocco,54895,50360,53034,56222,71189,92424,102358,111069
Mozambique,122332,168256,195702,268694,306471,321794,338850,353143
Myanmar,133545,113663,98011,83025,76414,73309,76446,79052
Namibia,120641,115372,135547,107347,103826,101618,109391,116035
Nauru,2815,2605,2394,2253,906,1833,2201,2548
Nepal,429974,690225,717900,680729,581889,509471,487564,470719
Netherlands,1194306,1397371,1584638,1735632,1850649,2024059,2425521,2956518
New Caledonia,37673,43662,49651,55405,61158,68881,73141,76738
New Zealand,526369,594911,685966,855017,956982,1132201,1343900,1467989
Nicaragua,41421,26619,30389,34919,37345,40261,42167,43757
